"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",2,0,0,1,0,0,0,0,2,0
"2",0,0,0,0,0,0,0,1,0,1
"3",1,1,0,0,1,0,1,1,0,2
"4",0,1,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0
"6",1,1,1,1,0,1,0,0,1,1
"7",0,0,0,0,0,0,0,0,0,1
"8",0,1,0,0,1,0,1,1,0,1
"9",0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,1,0,1,1,0,1
"11",0,0,0,0,0,0,0,0,0,0
"12",0,0,0,1,0,1,0,0,1,0
"13",0,0,0,0,0,0,1,0,0,1
"14",0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,1,0,1,1,0,1
"16",0,1,0,0,0,0,0,1,0,2
"17",1,1,0,0,1,0,1,1,1,1
"18",1,1,0,0,1,0,1,1,1,1
"19",0,0,0,0,0,0,0,0,0,0
"20",0,1,0,0,1,0,1,1,0,1
"21",0,1,0,0,1,0,1,1,0,1
"22",0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,1
"25",0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,1,0,0,0
"27",0,1,0,0,1,1,1,1,1,1
"28",0,1,0,0,1,0,0,1,0,1
"29",0,1,0,0,1,0,1,1,0,1
"30",0,1,0,0,1,0,0,1,0,1
"31",1,1,0,0,1,0,1,1,1,1
"32",0,1,0,0,1,0,1,1,0,1
"33",0,1,0,0,1,0,1,1,0,1
"34",0,1,0,0,1,0,1,1,0,1
"35",0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,1,0
"39",0,1,0,0,1,0,1,1,0,1
"40",0,1,0,0,1,0,1,1,0,1
"41",0,1,0,0,1,0,0,1,0,1
"42",0,1,0,0,1,0,1,1,0,1
"43",0,1,0,0,1,0,1,1,0,1
"44",0,0,0,0,0,0,0,0,0,1
"45",0,1,0,0,1,0,1,1,0,1
"46",0,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,1,0,1,1,0,1
"48",0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0
"50",0,1,0,0,1,0,1,1,0,1
"51",0,1,0,0,1,0,1,1,0,1
"52",0,1,0,0,1,0,1,1,0,1
"53",0,1,0,0,1,0,1,1,0,1
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,1,0,0,0,0,1
"56",0,1,0,0,1,0,1,1,0,1
"57",1,0,0,0,0,0,0,0,1,1
"58",0,1,0,0,1,0,1,1,0,1
"59",0,1,0,0,1,0,1,1,0,1
"60",0,1,0,0,1,0,1,1,0,1
"61",0,1,0,0,1,0,1,1,0,1
"62",0,1,0,0,1,0,1,1,0,1
"63",0,0,0,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,1,0
"66",0,1,0,0,1,0,1,1,0,1
"67",0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0
"69",1,1,0,0,1,0,1,1,0,1
"70",1,0,0,0,0,0,0,0,1,0
"71",0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0
"73",0,1,0,0,1,0,1,1,0,1
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0
"77",0,1,0,0,1,0,1,1,0,1
"78",0,1,0,0,1,0,1,1,0,1
"79",1,1,0,0,1,0,1,1,1,1
"80",0,0,0,1,0,1,0,0,1,0
"81",1,3,0,1,1,1,1,2,2,1
"82",0,0,0,0,0,0,0,0,0,0
"83",0,1,0,0,1,0,1,1,0,1
"84",0,1,0,0,1,0,1,1,0,1
"85",0,0,0,0,0,0,0,0,0,0
"86",1,1,0,0,1,0,1,1,0,1
"87",1,1,0,0,1,0,1,1,0,1
"88",0,0,0,0,0,0,0,0,0,0
"89",0,1,0,0,1,0,1,1,0,1
"90",0,0,0,0,0,0,0,0,0,0
"91",0,1,0,1,1,0,0,1,0,1
"92",0,1,0,0,1,0,1,1,0,1
"93",1,2,0,0,1,0,1,1,0,1
"94",0,0,0,0,0,0,0,0,0,0
"95",0,1,0,0,1,0,1,1,0,2
"96",0,0,0,1,0,1,0,1,1,0
"97",0,0,0,0,0,0,0,0,0,0
"98",0,1,0,0,1,0,1,1,0,1
"99",0,0,0,0,0,0,0,0,0,0
"100",0,1,0,0,1,0,1,1,0,1
"101",0,0,0,0,0,0,0,0,0,1
"102",1,0,0,0,0,0,0,0,1,0
"103",0,1,0,0,1,0,1,1,0,1
"104",0,1,0,0,1,0,1,1,0,1
"105",1,0,0,0,1,0,0,0,1,2
"106",0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0
"108",0,1,0,1,1,1,1,1,1,1
"109",0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,1,0,1
"114",0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,1
"116",2,0,1,0,0,1,0,0,2,0
"117",0,1,0,0,1,0,1,1,0,1
"118",1,1,0,0,0,0,0,0,1,1
"119",0,0,0,0,0,0,0,0,0,0
"120",1,1,0,0,1,0,1,1,1,1
"121",1,1,0,0,1,0,1,1,0,1
"122",0,1,0,0,1,0,1,1,0,1
"123",1,0,0,0,0,0,0,0,1,0
"124",0,1,0,0,1,0,1,1,0,1
"125",0,0,0,0,0,0,0,0,0,0
"126",1,0,1,1,0,1,0,0,1,0
"127",0,0,0,0,0,0,0,0,0,0
"128",0,1,0,0,1,0,1,1,0,1
"129",0,0,0,0,0,0,0,0,0,0
"130",1,1,1,1,1,1,0,3,1,2
"131",0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,1,1,0,0,0,1
"133",0,1,0,0,1,0,1,1,0,1
"134",1,1,0,0,1,0,1,1,0,1
"135",1,0,0,0,0,0,0,0,1,1
"136",0,1,0,0,1,0,1,1,0,1
"137",0,1,0,0,1,0,1,1,0,1
"138",0,0,0,0,0,0,0,0,0,0
"139",0,1,0,0,1,0,1,1,0,1
"140",0,0,0,0,1,0,0,1,0,1
"141",0,1,1,0,0,0,0,1,1,1
"142",0,1,0,0,2,1,1,1,0,2
"143",0,2,0,0,2,0,1,2,0,2
"144",0,1,0,0,1,0,1,1,0,1
"145",0,1,0,0,1,0,1,1,0,1
"146",0,3,0,0,1,0,1,1,0,1
"147",0,0,0,0,0,0,0,0,0,0
"148",0,1,0,0,1,0,1,1,0,1
"149",0,1,0,0,1,0,1,1,0,1
"150",0,0,0,0,0,0,0,0,0,0
"151",0,1,0,0,1,0,1,1,0,1
"152",1,1,0,0,1,0,1,1,1,1
"153",0,1,0,0,1,0,1,1,0,1
"154",0,0,0,0,0,0,0,0,0,0
"155",0,1,0,0,1,0,1,1,0,1
"156",0,1,0,0,1,0,1,1,0,1
"157",1,1,0,0,1,0,1,1,1,1
"158",0,0,0,0,0,0,0,1,0,0
"159",1,1,0,0,1,0,1,1,1,1
"160",0,1,0,0,1,0,1,1,0,1
"161",0,0,0,0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0,0,0,0
"163",0,1,0,0,1,0,1,1,0,1
"164",0,1,0,0,1,0,1,1,0,1
"165",0,0,0,0,0,0,0,0,0,0
"166",0,1,0,0,1,0,1,1,1,1
"167",0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0
"171",1,1,0,0,1,0,1,1,0,1
"172",1,1,0,0,1,0,1,1,0,2
"173",0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,1,0,0,1,0,1
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0
"178",1,1,0,0,1,0,1,1,2,1
"179",0,1,0,0,1,0,1,1,0,1
"180",0,0,0,0,0,0,0,0,0,0
"181",0,1,0,0,1,0,1,1,0,1
"182",0,0,0,1,0,1,0,0,1,0
"183",0,1,0,0,1,0,1,1,0,1
"184",1,1,1,1,0,1,0,0,1,0
"185",0,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,1,0,1,1,0,1
"187",0,1,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,1
"189",0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,1
"191",0,0,0,0,0,0,0,1,0,1
"192",2,0,1,1,0,1,0,0,2,0
"193",0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,1
"195",0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0,0,0,0
"198",0,1,0,0,1,0,1,1,0,1
"199",0,0,0,0,0,0,0,0,0,0
"200",0,1,0,0,1,0,0,1,0,1
"201",0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,1,1
"203",1,1,1,0,0,0,0,0,1,0
"204",0,0,0,0,0,0,0,0,0,0
"205",0,1,0,0,1,0,1,1,0,1
"206",0,0,0,0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,0,0
